iter	Passed	Remaining
0	383	1149574
1	666	999697
2	928	927685
3	1194	894709
4	1514	906907
5	1813	905000
6	2087	892639
7	2348	878379
8	2634	875408
9	2897	866295
10	3155	857347
11	3411	849434
12	3668	842982
13	3940	840368
14	4203	836481
15	4468	833343
16	4734	830764
17	4996	827671
18	5253	824253
19	5517	822078
20	5765	817808
21	6021	815073
22	6281	813047
23	6546	811709
24	6793	808402
25	7050	806483
26	7332	807353
27	7590	805699
28	7840	803204
29	8084	800379
30	8328	797669
31	8574	795248
32	8828	793775
33	9074	791581
34	9320	789588
35	9596	790090
36	9844	788386
37	10108	787899
38	10357	786348
39	10622	786055
40	10884	785534
41	11133	784139
42	11392	783443
43	11655	783019
44	11918	782628
45	12189	782773
46	12445	781925
47	12693	780623
48	12935	779050
49	13175	777371
50	13413	775632
51	13674	775226
52	13914	773713
53	14167	772934
54	14429	772627
55	14659	770669
56	14911	769906
57	15154	768702
58	15406	767966
59	15636	766201
60	15899	766063
61	16162	765910
62	16417	765356
63	16654	764025
64	16895	762884
65	17140	761975
66	17378	760766
67	17611	759376
68	17857	758562
69	18118	758405
70	18377	758138
71	18605	756607
72	18852	755908
73	19074	754224
74	19299	752670
75	19534	751570
76	19775	750716
77	20006	749491
78	20256	748975
79	20478	747472
80	20709	746311
81	20951	745578
82	21178	744309
83	21415	743435
84	21673	743280
85	21931	743124
86	22170	742315
87	22405	741402
88	22632	740269
89	22877	739697
90	23100	738463
91	23329	737403
92	23579	737063
93	23819	736391
94	24057	735651
95	24282	734537
96	24502	733311
97	24733	732424
98	24978	731943
99	25200	730814
100	25463	730885
101	25703	730277
102	25935	729473
103	26170	728739
104	26408	728106
105	26647	727533
106	26884	726878
107	27124	726338
108	27366	725841
109	27613	725477
110	27843	724678
111	28077	723995
112	28333	723892
113	28558	722980
114	28795	722391
115	29044	722107
116	29292	721792
117	29521	721015
118	29738	719959
119	29978	719486
120	30202	718609
121	30443	718160
122	30691	717891
123	30938	717573
124	31169	716900
125	31405	716349
126	31646	715901
127	31882	715372
128	32113	714715
129	32364	714511
130	32612	714245
131	32832	713354
132	33066	712790
133	33288	711973
134	33528	711548
135	33766	711091
136	34015	710845
137	34241	710144
138	34486	709825
139	34727	709423
140	34972	709121
141	35214	708755
142	35424	707742
143	35678	707631
144	35894	706752
145	36169	707035
146	36373	705940
147	36634	705961
148	36852	705152
149	37110	705097
150	37347	704648
151	37586	704244
152	37834	704010
153	38087	703874
154	38337	703684
155	38559	702976
156	38833	703204
157	39064	702665
158	39308	702355
159	39555	702116
160	39800	701830
161	40027	701226
162	40283	701135
163	40505	700451
164	40742	700032
165	40981	699654
166	41208	699065
167	41486	699342
168	41738	699183
169	41958	698478
170	42204	698232
171	42443	697855
172	42661	697141
173	42890	696602
174	43148	696537
175	43364	695806
176	43611	695558
177	43829	694864
178	44095	694932
179	44318	694322
180	44558	693986
181	44776	693295
182	45039	693314
183	45236	692315
184	45477	691995
185	45722	691735
186	45985	691747
187	46205	691123
188	46456	690942
189	46724	691029
190	46935	690268
191	47174	689924
192	47394	689305
193	47637	689020
194	47855	688383
195	48115	688351
196	48322	687551
197	48585	687555
198	48834	687358
199	49071	686995
200	49318	686781
201	49569	686609
202	49779	685872
203	50008	685414
204	50298	685774
205	50540	685491
206	50782	685193
207	51038	685097
208	51265	684605
209	51517	684449
210	51747	684003
211	52011	684005
212	52251	683688
213	52514	683666
214	52766	683504
215	52993	683026
216	53213	682458
217	53455	682174
218	53686	681744
219	53916	681313
220	54136	680746
221	54368	680335
222	54598	679915
223	54865	679943
224	55078	679297
225	55281	678541
226	55546	678550
227	55779	678164
228	55992	677529
229	56205	676904
230	56456	676747
231	56676	676206
232	56959	676421
233	57218	676353
234	57476	676263
235	57707	675863
236	57927	675332
237	58166	675024
238	58383	674464
239	58635	674312
240	58845	673666
241	59109	673647
242	59337	673227
243	59568	672836
244	59781	672234
245	60011	671831
246	60269	671746
247	60523	671618
248	60734	671009
249	61010	671113
250	61248	670803
251	61508	670736
252	61733	670288
253	62007	670365
254	62223	669819
255	62500	669931
256	62741	669652
257	63001	669572
258	63206	668912
259	63432	668485
260	63692	668409
261	63933	668125
262	64147	667571
263	64386	667279
264	64624	666971
265	64850	666543
266	65086	666222
267	65302	665690
268	65575	665751
269	65792	665232
270	66036	664999
271	66279	664740
272	66505	664325
273	66761	664199
274	66995	663862
275	67216	663393
276	67460	663155
277	67677	662653
278	67903	662242
279	68134	661881
280	68349	661358
281	68596	661153
282	68852	661028
283	69097	660807
284	69349	660641
285	69579	660276
286	69862	660410
287	70123	660329
288	70357	659992
289	70570	659473
290	70806	659161
291	71056	658971
292	71313	658863
293	71587	658898
294	71828	658629
295	72082	658479
296	72320	658193
297	72599	658266
298	72808	657715
299	73067	657606
300	73289	657171
301	73567	657237
302	73832	657182
303	74040	656619
304	74265	656214
305	74540	656249
306	74797	656126
307	75028	655766
308	75274	655542
309	75515	655279
310	75753	654991
311	75977	654571
312	76256	654633
313	76471	654149
314	76713	653893
315	76950	653593
316	77203	653426
317	77454	653251
318	77682	652872
319	77936	652719
320	78181	652488
321	78413	652144
322	78636	651732
323	78878	651474
324	79142	651405
325	79402	651293
326	79675	651289
327	79925	651101
328	80130	650542
329	80361	650198
330	80601	649927
331	80888	650030
332	81118	649681
333	81355	649385
334	81606	649195
335	81822	648737
336	82047	648346
337	82277	647997
338	82523	647774
339	82756	647444
340	82958	646878
341	83197	646606
342	83462	646529
343	83696	646212
344	83961	646142
345	84182	645720
346	84427	645490
347	84658	645153
348	84884	644784
349	85145	644676
350	85363	644236
351	85579	643789
352	85828	643592
353	86040	643116
354	86315	643109
355	86549	642796
356	86789	642532
357	87027	642254
358	87279	642077
359	87504	641696
360	87768	641612
361	88020	641430
362	88281	641315
363	88535	641153
364	88767	640828
365	88988	640423
366	89260	640386
367	89487	640031
368	89753	639951
369	89996	639706
370	90211	639264
371	90442	638932
372	90672	638594
373	90921	638395
374	91187	638311
375	91434	638096
376	91655	637699
377	91878	637314
378	92156	637313
379	92411	637153
380	92637	636794
381	92864	636437
382	93107	636191
383	93331	635818
384	93555	635446
385	93764	634973
386	93992	634630
387	94231	634364
388	94469	634090
389	94682	633647
390	94935	633470
391	95178	633225
392	95390	632781
393	95631	632529
394	95872	632275
395	96088	631852
396	96333	631628
397	96593	631497
398	96821	631162
399	97038	630752
400	97308	630687
401	97537	630351
402	97803	630259
403	98019	629846
